Time,Room,Value
11:00,0.1,1
11:00,0.2,25
11:00,0.3,12
11:00,0.4,22
11:00,0.5,30
11:00,0.6,40
11:00,0.7,35
11:00,0.8,30
11:00,0.9,40
11:00,0.10,35
11:00,0.11,30
11:00,0.12,35
11:00,0.13,30
11:00,0.14,35
11:00,0.15,30
11:00,0.16,35
11:00,0.17,30
11:00,0.18,35
11:00,bibliotheek,30
11:00,1.1,1
11:00,1.2,25
11:00,1.3,12
11:00,1.4,22
11:00,1.5,30
11:00,1.6,40
11:00,1.7,35
11:00,1.8,30
11:00,1.9,40
11:00,1.10,35
11:00,1.11,30
11:00,1.12,35
11:00,1.13,30
11:00,1.14,35
11:00,1.15,30
11:00,1.16,35
11:00,1.17,30
11:00,1.18,35
11:00,bibliotheek,30
11L00,blankroom1,1
11L00,blankroom2,2
11L00,blankroom11,11
11L00,blankroom10,10
11:00,2.1,1
11:00,2.2,25
11:00,2.3,12
11:00,2.4,22
11:00,2.5,30
11:00,2.6,40
11:00,2.7,35
11:00,2.8,30
11:00,2.9,40
11:00,2.10,35
11:00,2.11,30
11:00,2.12,35
11:00,2.13,30
11:00,2.14,35
11:00,2.15,30
11:00,2.16,35
11:00,2.17,30
11:00,2.18,35
11:00,bibliotheek,30
10:00,0.1,1
10:00,0.2,25
10:00,0.3,12
10:00,0.4,2
10:00,0.5,30
10:00,0.6,40
10:00,0.7,3
10:00,0.8,30
10:00,0.9,4
10:00,0.10,35
10:00,0.11,30
10:00,0.12,13
10:00,0.13,30
10:00,0.14,25
10:00,0.15,30
10:00,0.16,35
10:00,0.17,10
10:00,0.18,35
10:00,bibliotheek,10
10:00,1.1,1
10:00,1.2,25
10:00,1.3,12
10:00,1.4,22
10:00,1.5,30
10:00,1.6,40
10:00,1.7,35
10:00,1.8,30
10:00,1.9,40
10:00,1.10,35
10:00,1.11,30
10:00,1.12,35
10:00,1.13,30
10:00,1.14,35
10:00,1.15,30
10:00,1.16,35
10:00,1.17,30
10:00,1.18,35
10:00,bibliotheek,10
10:00,2.1,1
10:00,2.2,25
10:00,2.3,12
10:00,2.4,22
10:00,2.5,30
10:00,2.6,40
10:00,2.7,35
10:00,2.8,30
10:00,2.9,40
10:00,2.10,35
10:00,2.11,30
10:00,2.12,35
10:00,2.13,30
10:00,2.14,35
10:00,2.15,30
10:00,2.16,35
10:00,2.17,30
10:00,2.18,35
10:00,bibliotheek,10
12:00,0.1,100
12:00,0.2,25
12:00,0.3,1
12:00,0.4,22
12:00,0.5,30
12:00,0.6,10
12:00,0.7,15
12:00,0.8,30
12:00,0.9,10
12:00,0.10,35
12:00,0.11,30
12:00,0.12,35
12:00,0.13,30
12:00,0.14,35
12:00,0.15,30
12:00,0.16,5
12:00,0.17,30
12:00,0.18,5
12:00,bibliotheek,30
12:00,1.1,1
12:00,1.2,25
12:00,1.3,12
12:00,1.4,22
